number,value,datetime_start,datetime_complete,duration,params_C,params_degree,params_gamma,params_kernel,state
0,0.8978612568514692,2025-05-29 10:13:43.392794,2025-05-29 10:15:06.732093,0 days 00:01:23.339299,47.628299856676136,,auto,rbf,COMPLETE
1,0.9011165696941593,2025-05-29 10:13:43.394786,2025-05-29 10:15:06.270393,0 days 00:01:22.875607,34.59051835826428,4.0,auto,poly,COMPLETE
2,0.8847154150693745,2025-05-29 10:13:43.397785,2025-05-29 10:35:35.442000,0 days 00:21:52.044215,16.277410714870992,,scale,linear,COMPLETE
3,0.8965772070514242,2025-05-29 10:13:43.400782,2025-05-29 10:15:06.920530,0 days 00:01:23.519748,56.300115054984545,4.0,scale,poly,COMPLETE
4,0.8847675779540713,2025-05-29 10:15:06.275921,2025-05-29 11:11:27.940744,0 days 00:56:21.664823,61.40657277177439,,auto,linear,COMPLETE
5,0.8845770727334036,2025-05-29 10:15:06.737170,2025-05-29 10:51:24.909070,0 days 00:36:18.171900,19.91648810553179,,scale,linear,COMPLETE
6,0.8979425223786798,2025-05-29 10:15:06.925538,2025-05-29 10:35:35.987799,0 days 00:20:29.062261,72.36499274750963,,auto,rbf,COMPLETE
7,0.8848031164376252,2025-05-29 10:35:35.448531,2025-05-29 11:11:27.508176,0 days 00:35:52.059645,3.125839642301315,,auto,linear,COMPLETE
8,0.8846867091275271,2025-05-29 10:35:35.991831,2025-05-29 11:34:20.311534,0 days 00:58:44.319703,53.011402890699856,,auto,linear,COMPLETE
9,0.898287401561264,2025-05-29 10:51:24.913584,2025-05-29 11:17:32.100657,0 days 00:26:07.187073,5.170038319405767,,scale,rbf,COMPLETE
10,0.8847675779540713,2025-05-29 11:11:27.511695,2025-05-29 11:46:59.056029,0 days 00:35:31.544334,53.054376159593595,,auto,linear,COMPLETE
11,0.8965351155078819,2025-05-29 11:11:27.943742,2025-05-29 11:34:20.746379,0 days 00:22:52.802637,34.99640449427111,,auto,rbf,COMPLETE
12,0.8977601445239592,2025-05-29 11:17:32.102666,2025-05-29 11:34:31.341701,0 days 00:16:59.239035,55.7470685161754,3.0,auto,poly,COMPLETE
13,0.8977189866098113,2025-05-29 11:34:20.315042,2025-05-29 11:34:53.535990,0 days 00:00:33.220948,97.6732882676223,4.0,auto,poly,COMPLETE
14,0.8878422137664909,2025-05-29 11:34:20.749378,2025-05-29 11:34:53.994647,0 days 00:00:33.245269,0.17559201909761413,3.0,scale,poly,COMPLETE
15,0.9009051031889334,2025-05-29 11:34:31.345220,2025-05-29 11:35:02.890506,0 days 00:00:31.545286,27.880333239434204,4.0,scale,poly,COMPLETE
16,0.9012572185205397,2025-05-29 11:34:53.538511,2025-05-29 11:35:20.951791,0 days 00:00:27.413280,1.5079503912884817,2.0,scale,poly,COMPLETE
17,0.8973209059263638,2025-05-29 11:34:53.997647,2025-05-29 11:35:21.397530,0 days 00:00:27.399883,32.84263900621348,,scale,rbf,COMPLETE
18,0.900753993596921,2025-05-29 11:35:02.894034,2025-05-29 11:35:27.336610,0 days 00:00:24.442576,33.46227633572083,4.0,scale,poly,COMPLETE
19,0.8982926120894642,2025-05-29 11:35:20.955802,2025-05-29 11:35:33.415882,0 days 00:00:12.460080,38.24250703233975,2.0,scale,poly,COMPLETE
